abash, to make ashamed, verb 
salutary, favourable to or promoting health, adjective 
salvage," to save from shipwreck, fire, etc", verb 
salve, a medical ointment for healing or relieving wounds and sores, noun 
salvo," a successive charge of artillery, bombs, etc", noun 
sanctimonious, making a hypocritical show of piety, adjective 
sanction, authoritative permission or approval for an action, noun 
sanctity," holiness of life or disposition, saintliness", noun 
sangfroid, self-possession or imperturbability especially under strain, noun 
sanguinary, accompanied by bloodshed, adjective 
sanguine, cheerfully optimistic, adjective 
sapid," tasty, flavoursome or savoury", adjective 
sapient," possessing wisdom and discernment, wise, learned", adjective 
saponaceous," resembling soap, having the qualities of soap, soapy", adjective 
sarcasm, harsh or bitter derision or irony, noun 
sarcophagus," a stone coffin, often inscribed or decorated with sculpture", noun 
sardonic, characterised by bitter or scornful derision, adjective 
sartorial, pertaining to tailors and their trade, adjective 
satiate," to fill to satisfaction, to satisfy", verb 
satire," the use of irony,or sarcasm in exposing folly, vice", noun 
saturate," to become completely penetrated, soaked", verb 
saturnalian, relating to unrestrained revelry, adjective 
saturnine," sluggish in temperament, gloomy, taciturn", adjective 
satyr," a woodland deity represented as half-man, half-horse", noun 
savage," fierce, ferocious or cruel", noun 
savant, a person of profound or extensive learning, noun 
savor, to enjoy something with unhurried appreciation, verb 
savory," tasty, attractive to the palate", adjective 
scabbard, the sheath of a sword, noun 
scarcity, insufficiency or shortness of supply, noun 
scathing, bitterly severe, adjective 
schism," division, especially into mutually opposed parties", noun 
scholarly, concerned with academic learning and research, adjective 
scintilla," a small spark or flash, a trace", noun 
scintillating," animated, vivacious, effervescent", adjective 
scoff," to jeer, laugh at with contempt and derision", verb 
scope," to perform a cursory investigation, as to scope out", verb 
scorn, to feel or display contempt or disdain for something, verb 
scotch, to cut or score, verb 
scoundrel," one without honor, a villain", noun 
scourge, to punish or criticize somebody severely, noun 
scribble, to write or draw carelessly and in a hurry, verb 
scribe, person who made copies of manuscripts before printing, noun 
scriptural, in accordance with sacred writings, adjective 
scruple, a moral standard that inhibits certain actions, noun 
scrupulous, showing a strict regard for what one considers right, adjective 
scrutinize, to examine something with great care, verb 
scurrilous," given to vulgar verbal abuse, foul-mouthed", adjective 
scurvy, a disease caused by a diet lacking in vitamin c, noun 
scuttle, to sink a boat deliberately by making openings in the bottom, verb 
scythe," a long, curved blade used for cutting grass and grain", noun 
séance, meeting where a mystic tries to communicate with the dead, noun 
sear, to char the surface of something with a hot instrument, verb 
sebaceous," of or relating to tallow or fat,", adjective 
secant, a straight line that intersects a curve at 2 or more points, noun 
secede, to withdraw formally from an alliance, verb 
seclude," to shut off or keep apart, as from company, society, etc", verb 
seclusion, solitude, noun 
secular, not specifically religious, adjective 
sedate," to tranquilize by giving a sedative, to induce sleep", verb 
sedentary," not moving, relatively still, staying in the vicinity", adjective 
sediment, particles that settle to the bottom of a liquid, noun 
sedition, incitement of discontent or rebellion against movement, noun 
seduce, to entice someone to engage in a sexual relationship, verb 
sedulous, diligent in application or attention, adjective 
seer, a person who prophesies future events, noun 
seethe, to be in a state of agitation or excitement, verb 
seignior," a feudal lord, nobleman who held his lands by feudal grant", noun 
seismograph, instrument for measuring the vibrations of earthquakes, noun 
seize," to deliberately take hold of, to grab or capture", verb 
semaphore, an apparatus for conveying information by visual signals, noun 
semblance," likeness, similarity, the quality of being similar", noun 
semiannual," occurring twice a year, half-yearly, biannual", adjective 
semiconscious, neither fully conscious nor unconscious, adjective 
seminal, having possibilities of future development, adjective 
seminar, a small group of students engaged in study, noun 
seminary," a theological school to train rabbis, priests, or ministers", noun 
senile, decline in mental or physical health due to old age, adjective 
sensation, perception or awareness of stimuli, noun 
sensibility," the ability to sense, feel or perceive", noun 
sensorium, the sensory part of the brain, noun 
sensory, pertaining to the senses, adjective 
sensual, inducing pleasurable and/or erotic sensations, adjective 
sensuous," appealing to the senses, or to sensual gratification", adjective 
sentence, to declare a sentence on a convicted person, verb 
sentient, conscious or aware, adjective 
sentinel, a person or thing that watches or guards, noun 
separatist, an advocate of religious or political separation, adjective 
septennial, lasting or continuing seven years, adjective 
sepulcher," a tomb, grave or burial place", noun 
sepulchral, serving as a tomb, adjective 
sequacious, following with smooth or logical regularity, adjective 
sequence, to arrange in an order, verb 
sequent," that comes after in time or order, subsequent", adjective 
sequester, to separate from all external influence, verb 
sequestrate, to sequester, verb 
seraphic, of or relating to a seraph or the seraphim, adjective 
serendipity, an aptitude for making desirable discoveries by accident, noun 
serene," calm, peaceful, tranquil", adjective 
sergeant, an army officer above the rank of corporal, noun 
sergeant-at-arms, a person charged with keeping order at a meeting, noun 
sergeant-major, officer serving as chief administrative assistant in a unit, noun 
serrated, having a notched edge or sawlike teeth, adjective 
servile," slavishly submissive, fawning", adjective 
servitude, slavery or bondage of any kind, noun 
sever, to cut free, verb 
severance, a breaking off, noun 
severely, harshly, noun 
sextet, any group or set of six, noun 
sextuple, having six parts, adjective 
shackle, a ring of iron used to secure the wrist or ankle, noun 
shambles, any scene of destruction, noun 
shambolic," chaotic, disorganised", adjective 
sheer, transparently thin, noun 
shibboleth, a peculiarity that distinguishes a class of people, noun 
shiftless," lazy, unmotivated", adjective 
shoal, a place where a body of water is shallow, noun 
shrewd, showing clever resourcefulness in practical matters, adjective 
shriek," to utter a loud, sharp, shrill sound or cry", verb 
shrinkage, the act of shrinking, noun 
shrivel," to collapse inward, to crumble", verb 
shroud, a cloth in which a corpse is wrapped for burial, noun 
shunt, to turn away or aside, verb 
sibilant," characterized by a hissing sound such as the ""s"" in sash", adjective 
sibilate, to hiss, verb 
sic, written parenthetically to show something quoted verbatim, verb 
sidelong," directed to the side, sideways", adjective 
sidereal, determined by or from the stars, adjective 
siege, to attack a fortified place to isolate it from help, noun 
signatory, having signed a document, adjective 
signification, an exact meaning or sense, noun 
simile, figure of speech in which 2 unlike things are compared, noun 
similitude," likeness, resemblance", noun 
simulate, to model or replicate the appearance or properties of, verb 
simultaneous, occurring or transpiring at the same time, adjective 
sinecure, a job that requires no work but still gives an ample payment, noun 
singe, to burn slightly, verb 
sinister," threatening or portending evil, harm or trouble", adjective 
sinuosity," a curve, bend or turn", noun 
sinuous," having many curves, bends or turns", adjective 
sinus," a cavity in any organ or tissue, i.e. the nasal passage", noun 
sirocco," a hot, dry wind blowing from N. Africa into southern Europe", noun 
skeptic, a person who questions the validity of something, noun 
skeptical," having, or expressing doubt, questioning", adjective 
skiff, a small flat-bottomed open boat, noun 
skirmish, to engage in a minor battle or dispute, verb 
skulk, to move in a stealthy manner, verb 
slake," to allay thirst, desire, etc, by satisfying it", verb 
slander, defamation, noun 
slapdash," done hastily, haphazard, careless", adjective 
sleazy," marked by low quality, inferior, inadequate", adjective 
sleight," cunning, craft, artful practice", noun 
slight," very small in size, degree, amount, or importance", verb 
slipshod," done poorly or too quickly, slapdash", adjective 
sloth," laziness, slowness in the mindset", noun 
slough, to shed (skin), verb 
slovenly," having an untidy appearance, unkempt", adjective 
sluggard," a person who is lazy, stupid, or idle by habit", noun 
smelt, to fuse or melt ore in order to separate the metal contained, verb 
smorgasbord, a buffet, noun 
smug," irritatingly pleased with oneself, self-satisfied", adjective 
snide," derogatory in a nasty, insinuating manner", adjective 
sobriety, the quality or state of being sober, noun 
sociable, inclined to associate with or be in the company of others, adjective 
socialist," of, promoting, practicing, or characteristic of socialism", adjective 
sodden, soaked with liquid or moisture, adjective 
sojourn, to reside somewhere temporarily, verb 
sol, the fifth step in the solfège scale of c, noun 
solace," comfort in sorrow, misfortune or trouble", noun 
solder, an alloy applied between metal objects to unite them, noun 
solecism, a nonstandard or ungrammatical usage, noun 
solemn, deeply serious and somber, adjective 
solicit, to persistently try to get something or bring about an event, verb 
solicitude, anxiety or concern, noun 
soliloquy," speech by a person talking to himself, disregarding others", noun 
solipsistic, of the theory that only the self can be proved to exist, adjective 
solstice, either the shortest or longest day of the year, noun 
solubility, the quality or property of being soluble, noun 
soluble, capable of being dissolved or liquefied, noun 
solvent, a substance that dissolves another to form a solution, noun 
somatic," part of, or relating to the body of an organism", adjective 
somber, dark and dull in colour or things in respect to colour, adjective 
somnambulist, a person who walks about in his or her sleep, noun 
somniferous," causing or inducing sleep, normally with harmful overtones", adjective 
somnolent, drowsy or sleepy, adjective 
sonata, musical piece for 1 or more instruments in 3-4 movements, noun 
sonnet, a fixed verse form of 14 lines usually in iambic pentameter, noun 
sonorous," capable of giving out a deep, resonant sound", adjective 
soothsayer, a person who professes or foretell events, noun 
sophism, any false argument, noun 
sophistical, fallacious, adjective 
sophisticate, make worldly-wise, verb 
sophistry," a superficially plausible, but false method of reasoning", noun 
sophomoric," of, relating to, or characteristic of a sophomore", adjective 
soporific, causing or tending to cause sleep, adjective 
soprano, the highest singing voice in women and boys, noun 
sorcery, magic done with the help of evil spirits, noun 
sordid, dirty or squalid, adjective 
souvenir, an item to remember an event or location, noun 
sovereign, a monarch, noun 
sparse, having widely spaced intervals, adjective 
spartan," austere, frugal or characterized by self-denial", adjective 
spasmodic, sudden but brief, adjective 
spate, a sudden outpouring, noun 
spawn, to produce or deposit (eggs) in water, verb 
specimen," an individual instance that represents a class, an example", noun 
specious, apparently good or right though lacking real merit, adjective 
speckled, marked with dots, adjective 
spectator," one who observes an event, an observer", noun 
specter, a ghostly apparition, noun 
spectrum, a broad range of varied but related ideas or objects, noun 
speculate," to think, meditate or reflect on a subject", verb 
speculator, one who speculates, noun 
spelunker," one who explores caves, one who spelunks", noun 
spendthrift, a person who spends money extravagantly or wastefully, noun 
sphericity, the quality of being spherical, noun 
spheroid, a solid geometrical figure similar in shape to a sphere, noun 
spherometer, an instrument for measuring the curvature of surfaces, noun 
spinous," thorny, as a plant", adjective 
spinster, a woman still unmarried beyond the usual age of marriage, noun 
splenetic, irritable, adjective 
spontaneous, coming from natural impulse, adjective 
sporadic, appearing or happening at irregular intervals, adjective 
sprightly," animated, vivacious, or gay, lively", adjective 
spurious, not genuine, adjective 
spurn," to reject disdainfully, contemn, scorn", verb 
squabble, to participate in a minor fight or argument, verb 
squalid, foul and repulsive from lack of care or cleanliness, adjective 
squalor, filth and misery, noun 
squander," to waste, lavish, splurge", verb 
squatter, one who occupies a building or land without permission, noun 
squeamish," easily bothered or upset, tending to be nauseous or nervous", adjective 
staccato, shortened and detached when played or sung, adjective 
stagnant," lacking freshness, motion, progress, or change", adjective 
stagnate," to cease motion, activity, or progress", verb 
stagnation, inactivity, noun 
stagy, theatrical, adjective 
staid," of settled or sedate character, not flighty", adjective 
stallion, an uncastrated male horse, noun 
stalwart, firmly built, adjective 
stamina, the energy for continuing to do something for a long time, noun 
stanch, to stop the flow of, verb 
stanchion, an upright bar or beam used as support in a window or stall, noun 
stanza," a unit of a poem, equivalent to a verse", noun 
stark," sheer, utter, downright or complete", adjective 
statecraft, the art of government and diplomacy, noun 
stately," of people: regal, dignified, worthy of respect", adjective 
static, characterised by a fixed or stationary position, adjective 
statics, branch of mechanics dealing w/ forces in static equilibrium, noun 
stationary," standing still, not moving", adjective 
statistician," a person who compiles, interprets, or studies statistics", noun 
statuesque, like a statue, adjective 
statuette, a small statue, noun 
stature, a person or animal's natural height when standing upright, noun 
statute," written law, as laid down by the legislature", noun 
staunch, to stop the flow of (blood), verb 
steadfast," fixed or unchanging, steady", adjective 
stealth, secret or clandestine procedure, noun 
stellar," of, pertaining to, or characteristic of stars", adjective 
stentorian, very loud or powerful in sound, adjective 
steppe, the grasslands of eastern europe and asia, noun 
stereotype, a simplified and standardised conception held by a group, noun 
sterling, (of silver) having the standard fineness 0 925, adjective 
stevedore, firm or individual engaged in loading or unloading a vessel, noun 
stifle," to quell, crush or end by force", verb 
stigma, a mark of disgrace or infamy, noun 
stigmatize," to characterize as disgraceful, to mark with a stigma", verb 
stiletto, a short dagger with a thick blade, noun 
stimulate, to encourage into action, verb 
stimulus, anything that may have an impact or influence on a system, noun 
stingy, reluctant to give or spend, adjective 
stint, a period of time spent doing something, noun 
stipend," a fixed payment, generally small", noun 
stipulate, to require (something) as a condition of a contract, verb 
stoic," unaffected, indifferent, restrained", adjective 
stoicism, (school of philosophy) logic reflects cosmic reason, noun 
stoke," to stir up and feed, especially, a fire or furnace", verb 
stolid, unemotional, adjective 
strait, a narrow passage of water connecting 2 large bodies of water, noun 
strait-laced, excessively strict in conduct or morality, adjective 
stratagem, a deceptive tactic designed to gain the upper hand, noun 
stratum, one of several parallel horizontal layers of materia, noun 
streamlet, a small stream, noun 
strenuous, characterised by vigorous exertion, adjective 
striated, having parallel lines or grooves on the surface, adjective 
stricture, a rule restricting behaviour or action, noun 
stridency, the quality of being loud or making a harsh sound, noun 
strident," loud, shrill, piercing, high-pitched, rough-sounding", adjective 
stringent, rigorously binding or exacting, adjective 
stripling, a youth just passing from boyhood to manhood, noun 
strut," to walk with a vain, pompous bearing", verb 
studious," given to thought, contemplative", adjective 
stultify," to make, or cause to appear, foolish or ridiculous", verb 
stupefy," to dull capacity to think, thereby reducing responsiveness", verb 
stupendous," astonishingly great or large, huge, enormous", adjective 
stupor, a state of reduced consciousness or sensibility, noun 
stymie," to hinder, block or thwart", verb 
suasion," the act of urging or influencing, persuasion", noun 
suave," charming, confident and elegant", adjective 
subacid, somewhat acidic, adjective 
subaquatic," located or living under water, submarine", adjective 
subconscious, the mental processes of which the individual is not aware, noun 
subdue," to overcome, quieten, or bring under control", verb 
subjacent," lying beneath or at a lower level, underlying", adjective 
subjection, bringing something under the control of something else, noun 
subjugate, to forcibly impose obedience or servitude, verb 
sublimate, to change from a solid to a gas without becoming liquid, verb 
sublime, elevated or lofty in thought, adjective 
subliminal, existing below the threshold of consciousness, adjective 
sublingual, beneath the tongue, adjective 
submarine, a vessel that can be submerged and navigated underwater, noun 
submerge, to sink below the surface of water or another medium, verb 
submersible, able to be put under water, adjective 
submersion, the act of sinking until completely covered with water, noun 
submission, the act of yielding to the will or authority of another, noun 
submissive, meekly obedient or passive, adjective 
submittal, the act of submitting, noun 
subordinate, to make subservient, verb 
subpoena, the summoning of witnesses or evidence before a court, noun 
subsequent," following in time, coming after something else at any time", adjective 
subservience, a subordinate place or function, noun 
subservient, acting in an inferior capacity, adjective 
subside," to sink or fall to the bottom, to settle, as lees", verb 
subsist, to survive on a minimum of resources, verb 
subsistence," real being, existence", noun 
substantiate, to establish by proof or competent evidence, verb 
substantive, of the essence or essential element of a thing, adjective 
subtend, to extend or stretch underneath or opposite something, verb 
subterfuge, an indirect or deceptive device or stratagem, noun 
subterranean," below ground, under the earth, underground", adjective 
subtext, the underlying or implicit meaning, noun 
subtle, fine or delicate in meaning or intent, adjective 
subtrahend, a number or quantity to be subtracted from another, noun 
subversion, the act of subverting or the condition of being overthrown, noun 
subversive, intending to overturn or undermine a government or authority, adjective 
subvert," to overturn from the foundation, to overthrow", verb 
successive, following in an uninterrupted sequence, adjective 
successor, person that immediately follows another in holding a title, noun 
succinct, brief and to the point, adjective 
succor," help, relief, aid", noun 
succulent, juicy or lush, adjective 
succumb, to yield to an overpowering force or overwhelming desire, verb 
sufferance," endurance, especially patiently, of pain or adversity", noun 
suffice, to be enough or adequate, verb 
suffrage," the right to vote, especially in a political election", noun 
suffragist," advocate of granting the right to vote, especially to women", noun 
suffuse," to spread through or over something, especially as a liquid", verb 
suggestible, susceptible to influence by suggestion, adjective 
sully," to soil, stain or tarnish", verb 
sumptuous," magnificent and splendid, suggesting great expense", adjective 
sunder, to separate, verb 
superabundance," more than sufficient, excessive", noun 
superadd, to add on top of a previous addition, verb 
superannuate, to allow to retire from office on a pension because of age, verb 
supercilious, haughtily disdainful or contemptuous, adjective 
superficial," shallow, lacking substance", adjective 
superfluity, the quality or state of being in excess, noun 
superfluous, in excess of what is required or sufficient, adjective 
superintend," to oversee the work of others, to supervise", verb 
superlative," exceptionally good, of the highest quality, superb", adjective 
supernumerary," extra, beyond the standard or prescribed amount", adjective 
supersede," to replace in power, effectiveness, use, etc", verb 
supervene, to take place or occur as something additional or extraneous, verb 
supine," lying on the back, face or front upward", adjective 
supplant," to take the place of, to replace, to supersede", verb 
supple, bending readily without breaking or becoming deformed, adjective 
supplementary," additional, added to supply what is wanted", adjective 
suppliant, a petitioner, noun 
supplicant," begging, pleading, supplicating", adjective 
supplicate," humble oneself before another in making a request, to beg", verb 
supplication," humble prayer, entreaty or petition", noun 
supposition, something that is assumed, noun 
suppress," to hold in place, to keep low, to prevent publication", verb 
suppressible, capable of being done away with, adjective 
suppression, the act or instance of repressing, noun 
supramundane," situated above the world or above our system, celestial", adjective 
surcharge," an additional charge, tax or cost", noun 
surety," security against loss or damage, guarantee", noun 
surfeit, excessive amount, noun 
surfeit, an excessive amount of something, noun 
surly," lordly, arrogant, supercilious", adjective 
surmise, a conclusion drawn on limited evidence or intuitive feeling, verb 
surmount," to get over, to overcome", verb 
surpass, exceed; be greater than, verb 
surreptitious, obtained or done by stealth, adjective 
surrogate, to substitute something with something else, verb 
surround, to encircle, verb 
surveillance, a watch kept over a person, noun 
surveyor, a person whose occupation is to survey land or buildings, noun 
susceptibility, vulnerability, noun 
susceptible, likely to be affected by something, adjective 
suspect, to suppose (something) to be true without evidence, verb 
suspense, a state of uncertainty or excitement in awaiting an outcome, noun 
suspicious, questionable, adjective 
sustenance, something that provides support or nourishment, noun 
svelte," attractively thin, gracefully slender", adjective 
swarthy," tawny, dusky, dark", adjective 
swathe," to bind with a swathe, band, bandage, or rollers", verb 
sybarite, a person devoted to luxury and pleasure, noun 
sycophant," self-seeking, servile flatterer", noun 
syllabic," of, relating to, or consisting of a syllable or syllables", adjective 
syllabication, the act of dividing something into syllables, noun 
syllable, segment of speech: a vowel sound or syllabic consonant, noun 
syllabus, an outline of the contents of a curriculum, noun 
sylph, a wood nymph, noun 
sylvan," pertaining to the forest, or woodlands", adjective 
symbiosis, any interdependent relationship between two things, noun 
sympathetic," of, related to, showing, or characterized by sympathy", adjective 
symphonic, characteristic of a symphony orchestra, adjective 
symphony," an elaborate instrumental composition, written for orchestra", noun 
symptomatic, (of a disease) showing symptoms, adjective 
synaeresis, the contraction of two syllables or two vowels into one, noun 
synchronism, coincidence in time, noun 
syndicate, a group of people making a joint effort to undertake a duty, noun 
syndrome," a recognizable pattern of signs, symptoms and/or behaviours", noun 
synergy, elements that make an effect greater than the sum of parts, noun 
synod, an ecclesiastic council to consult on church matters, noun 
synonym, a word having the same meaning as another in the language, noun 
synopsis, a brief summary of the major points of a written work, noun 
syntax, a system or orderly arrangement, noun 
synthetic, artificial, adjective 
systematic," carried out using a planned, ordered procedure", adjective 
systemic, pertaining to or affecting a whole system, adjective 
tableau, a picturesque grouping of persons or objects, noun 
tacit," done or made in silence, implied, but not expressed", adjective 
taciturn, inclined to silence, adjective 
tack," a short nail with a flat, broad head", noun 
tact, a keen sense of what to say or do to avoid giving offence, noun 
tactician, a person skilled in the planning and execution of tactics, noun 
tactics, the art of implementing means to achieve immediate goals, noun 
tactile, tangible, adjective 
talisman," an object supposed to possess occult powers, worn as a charm", noun 
tangent, touching a curve at a single point but not crossing it, adjective 
tangential, digressive or divergent from the topic of discussion, adjective 
tangible, capable of being touched, adjective 
tannery, a place where people tan hides to make leather, noun 
tantalize, to tease by offering something but keeping it out of reach, verb 
tantamount," to amount to as much, to be equivalent", verb 
tapestry," fabric on which a picture is embroidered, for wall hangings", noun 
tarantula," any large, hair spider of the family theraphosidae", noun 
tardy," late, overdue or delayed", adjective 
tarnish, to oxidize or discolor due to oxidation, verb 
taunt," to goad (a person) into responding, often aggressively", verb 
taut," tight, under tension, as in a rope or bow string", adjective 
tautological," of, relating to, or using redundant language", adjective 
tautology, redundant use of words, noun 
tawdry, gaudy, adjective 
taxation, the act of imposing taxes and the fact of being taxed, noun 
taxidermy, the art of stuffing the skins of dead animals to be lifelike, noun 
technic, technique, adjective 
technicality, a petty point coming from a strict interpretation of details, noun 
technography, historical study of art and science in relation to geography, noun 
technology, a method that applies technical knowledge or tools, noun 
tedious," boring, monotonous, time consuming, wearisome", adjective 
tedium, the quality or state of being wearisome, noun 
teem, to be stocked to overflowing, verb 
telepathy, the capability to communicate directly by psychic means, noun 
telephony, sound transmission via the electromagnetic spectrum, noun 
telltale, a person who heedlessly reveals private matters, adjective 
temerity, reckless boldness, noun 
temper, to moderate or control, verb 
temperate, moderate or self-restrained, adjective 
temporal, pertaining to time, adjective 
temporize, to be indecisive or evasive to gain time, verb 
tempt, to entice to do something often regarded as unwise or wrong, verb 
tempter," someone or something that tempts, especially to evil", noun 
tenable," capable of being maintained or justified, well-founded", adjective 
tenacity, the quality or property of being persistent or stubborn, noun 
tenant, a person that rents or occupies land, noun 
tendency, a likelihood of behaving in a particular way, noun 
tendentious, having a bias or purpose, adjective 
tenet, any principle held as true by members of a group, noun 
tenor, the adult male voice between the bass and countertenor, noun 
tentative, unsure, adjective 
tenuous, thin or slender in form, adjective 
tenure, the holding or possessing of something, verb 
tepid," lukewarm, neither warm nor cool", adjective 
tercentenary, tricentenntial, adjective 
termagant," quarrelsome and scolding or censorious, shrewish", adjective 
terminal," fatal, resulting in death", adjective 
terminate, to finish or end, verb 
terminus, the end or final point of something, noun 
terrestrial, representing the earth as distinct from other planets, adjective 
terrify," to frighten greatly, to fill with terror", verb 
territorial," of, relating to, or restricted to a specific geographic area", adjective 
terse, neatly or effectively concise, adjective 
testament," a will, relating to one's personal property", noun 
testator, one who dies having made a legally valid will, noun 
testimonial," a statement, especially one given under oath, testimony", noun 
testy," easily annoyed, irritable", adjective 
tether, a rope or chain by which an animal is tied to a fixed object, noun 
thearchy, the rule or government of a god, noun 
theism, belief in the existence of at least one deity, noun 
theocracy, government under the control of a religion, noun 
theocrasy," interaction, admixture, and conflation of divine principles", noun 
theologian," one who studies theology, especially christian", noun 
theological, relating to the nature and will of god as revealed to humans, adjective 
theology, the field of study and analysis of divine things, noun 
theoretical," existing only in theory, hypothetical", adjective 
theorist, someone who constructs theories, noun 
theorize, to formulate theories about some specific subject, verb 
therapeutic, of or pertaining to the treating or curing of disease, adjective 
thereabout, about or near that place or time, adverb 
thermal, pertaining to heat or temperature, adjective 
thermoelectric, pertaining to the relationship between heat and electricity, adjective 
thermoelectricity, electricity generated by heat or temperature, noun 
thesis, a subject for a composition or essay, noun 
thoroughbred, bred from pure stock, adjective 
thoroughfare," a passage, a way through", noun 
thrall, a person who is enslaved by some power, noun 
threadbare," shabby, frayed and worn to an extent that warp threads show", adjective 
threshold, the bottom-most part of a doorway that one crosses to enter, noun 
thrive, prosper; flourish, verb 
throng, a crowd, noun 
thwart," to prevent, to halt, to cause to fail, to foil, to frustrate", verb 
tilth, the act of tilling land for crop, noun 
timbre, the quality of a sound independent of its pitch and volume, noun 
timorous, fearful, adjective 
tincture, a dye or pigment, noun 
tinge, to colour slightly, verb 
tipsy, foolish as a result of drinking alcoholic beverages, adjective 
tirade," a long, angry or violent speech, a diatribe", noun 
tiresome," causing fatigue or boredom, wearisome", adjective 
titter, to laugh or giggle in a somewhat subdued manner, verb 
toady, a flatterer, noun 
toilsome," requiring continuous physical effort, laborious", adjective 
tome, a very heavy or learned book, noun 
topography, the detailed mapping of the features of a geological area, noun 
torpid," unmoving, dormant or hibernating", adjective 
torpor," sluggish activity, inertia", noun 
torrid, very hot and dry, adjective 
tortious," of, pertaining to, a breach of contract", adjective 
tortuous," full of twists, turns or bends", adjective 
torturous, of or pertaining to suffering or torture, adjective 
totter," to walk, move or stand unsteadily or falteringly", verb 
touchstone, a test for the qualities of something, noun 
tourniquet, a device for stopping bleeding by compressing a blood vessel, noun 
tractable, easily managed or controlled, adjective 
traduce," to slander, or to speak maliciously and falsely of", verb 
trait," an identifying characteristic, habit or trend", noun 
trajectory, the path of a body as it travels through space, noun 
trammel, a restraint, noun 
tranquil, peaceful, adjective 
transact," to do, carry through, conduct or perform some action", verb 
transalpine, on the other side of the alps (with respect to rome), adjective 
transatlantic," on, from the other side of, or crossing the atlantic ocean", adjective 
transcend, to rise above or go beyond, verb 
transcontinental," crossing, spanning a continent", adjective 
transcribe, to make a written copy of spoken material, verb 
transcript," a written, or printed copy", noun 
transference, the act of conveying from one place to another, noun 
transferrer," a person who, or thing that transfers", noun 
transfigure, to transform the outward appearance of something, verb 
transfuse, to transfer or pass from one to another, verb 
transfusion, the transfer of blood from one individual to another, noun 
transgress," to violate a law, command, moral code, etc", verb 
transience," the quality of being transient, temporary, brief or fleeting", noun 
transient," passing or disappearing with time, transitory", adjective 
transitive, passing over or affecting something else, adjective 
transitory," lasting only a short time, temporary", adjective 
transliterate, to change into corresponding characters of another alphabet, verb 
translucent, clear enough for light to pass through but not totally clear, adjective 
transmission, the act of sending something forward, noun 
transmit," to send something from one person, place or thing to another", verb 
transmute, to change from one form into another, verb 
transpire," to occur, happen or take place", verb 
transplant, to transfer something from one place to another, verb 
transposition, a shift in a piece of music from one key to another, noun 
transverse, lying or extending crosswise or at right angles to something, adjective 
trappings, the dress or insignia associated with a position or status, noun 
traumatic," of, caused by, or causing trauma", adjective 
travail," toil, painfully difficult work", noun 
traverse," to pass or move over, along or through", verb 
travesty, any grotesque likeness or imitation of something, noun 
treacherous, traitorous, adjective 
treachery, betrayal of trust, noun 
treasonable," involving, or constituting treason", adjective 
treatise," a formal, usually lengthy, systematic discourse on a subject", noun 
treble, a high or shrill voice or sound, noun 
trebly," having treble, or high-pitched, qualities", adjective 
tremendous," awe-inspiring, terrific", adjective 
tremor, to shake or quiver excessively and rapidly or involuntarily, verb 
tremulous," trembling, quivering or shaking", adjective 
trenchant," caustic, cutting, as language or a person", adjective 
trepidation, tremulous fear, noun 
trestle, a frame with a horizontal beam supported by a pair of legs, noun 
triad, a grouping of three, noun 
tribune, a person who upholds or defends the rights of the people, noun 
trickery," artifice, deception", noun 
tricolor, having three colors, adjective 
tricycle, vehicle with 1 large front wheel and 2 smaller rear wheels, noun 
trident, a three-pronged spear somewhat resembling a pitchfork, noun 
triennial, happening every three years, adjective 
trimness, the state of being well arranged or appearing neat, noun 
trinity, a group of three people or things, noun 
trinket, a small showy ornament or piece of jewelry, noun 
triplicate, to make three identical copies of something, verb 
triplicity, the state of being triple or threefold, noun 
tripod," a three-legged stand or support, as for a camera", noun 
trisect, to cut into three pieces, verb 
trite," lacking in originality, stale", adjective 
triumvir, 1 of 3 persons associated in any position of authority, noun 
trivial, of little significance or value, adjective 
troubadour, one of a class of medieval lyric poets, noun 
trough, a long box used to hold food and water for animals, noun 
truant, a student who stays away from school without permission, noun 
truckle, to submit or yield tamely, verb 
truculent, fierce, adjective 
truism, a self-evident or obvious truth, noun 
truncate, to shorten something as if by cutting off part of it, verb 
truthful," honest, and always telling the truth", adjective 
tryst, an arrangement between lovers to meet, noun 
tumult, violent and noisy commotion of a crowd or mob, noun 
turbid," not clear because of stirred up sediment, opaque, obscured", adjective 
turgid, swollen, adjective 
turmoil," a state of great commotion, confusion or disturbance", noun 
turpitude," vile, shameful or base character", noun 
tutelage," the act of guarding or protecting, guardianship", noun 
tutelar," serving as a guardian, protective, tutelary", adjective 
tutorship," the duty of a tutor, tutelage", noun 
twinge," a sudden, sharp pain", noun 
typical, capturing the overall sense of a thing, adjective 
typify," to embody, exemplify, to represent by an image", verb 
typographical, pertaining to typography or printing, adjective 
typography, the art or practice of setting and arranging type, noun 
tyrannical," unjustly cruel, harsh or severe", adjective 
tyranny, arbitrary or unrestrained exercise of power, noun 
tyro, a learner or beginner, noun 
ubiquitous," existing or being everywhere, omnipresent", adjective 
ulterior, beyond what is obvious or evident, adjective 
ultimate," highest, maximum", adjective 
ultimatum," a final, uncompromising demand issued by a party", noun 
ultramontane," pertaining to the area south of the alps, especially italy", adjective 
ultramundane," extraordinary, abnormal", adjective 
umbrage," offense, annoyance, displeasure", noun 
umlaut, a mark over a vowel used to indicate a different vowel sound, noun 
unaccountable," inexplicable, unable to account for, or explain", adjective 
